ST	penA	mtrR	porB	ponA	gyrA	parC	23S
192	2.001	25	3	100	100	100	1
193	2.001	39	11	100	100	100	100
194	34.001	1	8	1	1	3	100
195	34.001	44	1	1	1	3	100
196	34.001	9	11	1	1	3	100
197	61.001	1	11	1	1	3	100
198	9.001	25	16	1	100	2	100
199	5.002	1	8	1	7	3	100
200	43.002	16	13	1	7	3	100
201	18.001	19	8	1	1	9	100
202	2.002	19	8	1	7	3	1
203	18.001	1	8	1	7	15	2
204	9.001	1	8	1	1	15	100
205	15.002	25	1	100	100	2	100
206	100.001	13	100	100	100	1	100
207	2.002	11	100	100	100	2	100
208	2.001	1	13	1	1	3	100
209	12.001	1	3	1	1	3	100
210	2.001	27	1	100	100	100	2
211	2.001	39	100	100	100	100	100
212	2.001	39	14	100	100	100	100
213	2.001	39	1	100	100	100	100
214	62.001	3	1	100	100	2	2
215	1.001	5	11	100	100	1	100
216	2.001	48	100	100	100	19	10
217	14.001	49	3	100	7	20	100
218	5.002	2	8	1	1	3	100
219	2.001	46	1	100	100	1	100
220	46.001	16	3	1	100	2	100
221	21.001	47	8	1	7	21	100
222	63.001	1	100	1	100	2	2
223	2.001	9	1	100	100	100	1
224	2.001	50	1	1	100	1	2
225	5.002	1	8	1	1	3	1
226	37.001	1	8	1	2	5	100
227	64.001	51	8	1	2	5	100
228	14.001	10	10	100	100	1	100
229	2.002	10	100	100	1	3	100
230	22.006	15	100	100	100	7	100
231	2.002	42	100	100	10	2	100
232	10.001	25	12	1	2	5	100
233	60.001	1	8	1	7	3	100
234	22.001	5	1	100	100	2	100
235	22.001	25	5	1	100	2	100
236	19.001	19	5	100	100	1	100
237	100.001	5	100	100	100	1	100
238	22.001	19	14	1	100	2	100
239	22.001	25	100	100	100	1	100
240	2.001	25	1	100	100	100	100
241	2.001	9	3	100	1	3	100
242	2.001	1	11	100	100	100	100
243	12.001	19	11	1	100	1	100
244	2.001	2	8	100	100	100	100
245	2.001	9	3	1	100	100	100
246	2.001	1	1	100	100	100	100
247	19.001	38	12	1	7	15	100
248	19.001	38	3	1	7	15	100
249	19.001	38	1	1	7	3	100
250	34.001	1	3	1	1	3	100
251	34.001	25	1	100	100	100	100
252	21.001	1	12	1	1	3	100
253	2.002	1	1	1	1	3	100
254	34.001	1	12	1	1	3	100
255	34.001	2	8	1	1	3	100
256	34.001	1	14	1	1	3	100
257	5.002	50	8	1	1	3	100
258	5.002	1	9	1	1	3	100
259	13.001	19	11	1	100	1	100
260	5.002	1	4	1	1	3	100
261	22.001	25	1	1	6	1	100
262	12.001	1	8	1	100	3	100
263	12.001	19	8	4	1	3	100
264	5.002	1	3	1	1	3	100
265	43.002	1	12	1	7	6	100
266	22.001	18	4	1	100	1	100
267	5.002	1	100	1	1	3	100
268	19.001	38	13	1	7	20	100
269	14.001	10	13	100	100	2	100
270	14.001	29	8	100	100	7	2
271	19.001	47	14	1	7	17	100
272	4.001	18	100	1	100	7	100
273	2.002	1	100	1	7	2	100
274	2.001	9	3	100	100	100	2
275	2.002	19	8	100	1	18	2
276	2.001	19	11	1	5	2	100
277	5.002	19	12	1	2	3	100
278	2.002	1	11	1	5	2	100
279	2.002	1	8	1	100	2	100
280	10.001	19	9	1	5	2	100
281	4.001	25	8	1	5	4	100
282	2.002	1	8	1	5	2	100
283	9.001	1	8	1	1	2	100
284	9.001	1	12	1	1	10	100
285	19.001	10	8	100	1	2	100
286	19.001	10	3	100	1	2	100
287	2.002	19	1	1	100	1	100
288	14.001	10	14	100	100	7	100
289	14.001	10	13	100	100	7	100
290	2.001	5	13	100	100	100	100
291	5.002	19	1	1	1	3	100
292	14.001	5	100	100	100	7	100
293	22.001	9	3	100	100	2	100
294	1.001	5	100	100	100	1	8
295	100.001	18	14	100	100	1	8
296	19.001	25	3	1	100	2	100
297	2.001	5	100	100	100	2	100
298	19.001	25	5	100	100	2	100
299	22.001	50	3	100	100	1	100
300	2.001	15	4	1	100	1	100
301	2.001	9	3	100	100	100	100
302	2.001	25	100	100	100	100	100
303	34.001	1	100	1	1	3	100
304	2.002	1	12	1	7	6	100
305	2.002	38	8	1	7	15	100
306	100.001	18	100	100	100	100	100
307	15.001	3	1	100	100	2	100
308	2.002	10	14	100	100	2	100
309	19.001	38	100	1	7	15	100
310	12.001	1	12	4	1	3	100
311	12.001	35	8	1	100	7	100
312	2.002	19	8	1	1	9	100
313	12.001	16	8	1	5	1	100
314	2.001	1	100	100	100	2	100
315	12.001	1	8	100	100	1	100
316	2.002	1	14	100	100	1	100
317	5.002	36	8	1	7	15	100
318	2.001	19	8	1	2	2	100
319	10.001	1	11	1	1	3	100
320	7.001	25	8	1	2	5	100
321	10.001	19	11	1	2	5	100
322	9.001	1	13	1	1	2	100
323	4.001	1	8	1	2	10	100
324	19.001	25	14	1	2	10	100
325	9.001	1	11	1	1	2	100
326	4.001	25	100	1	2	10	100
327	4.001	1	8	1	2	9	2
328	15.001	19	8	1	100	2	100
329	10.001	19	1	1	2	5	100
330	10.001	19	8	1	5	5	100
331	4.001	22	8	1	100	1	100
332	7.001	25	8	1	5	2	100
333	19.001	9	12	1	7	15	100
334	2.001	1	8	1	5	1	100
335	5.002	1	8	1	1	6	100
336	12.001	5	4	1	100	7	100
337	2.002	48	100	100	1	18	100
338	2.001	19	13	1	100	100	100
339	2.001	18	100	100	100	2	100
340	14.001	29	1	100	100	2	100
341	4.001	1	8	1	100	2	100
342	19.001	10	14	100	100	1	100
343	22.001	5	14	100	100	2	100
344	9.001	1	3	1	1	2	100
345	43.002	1	8	1	7	3	100
346	18.001	1	12	1	7	3	100
347	9.001	1	8	1	7	3	100
348	10.001	33	8	1	2	5	100
349	22.001	10	14	1	100	1	100
350	14.001	1	13	100	100	2	100
351	2.002	18	14	1	100	1	100
352	14.001	10	100	100	100	7	100
353	19.001	10	3	100	100	7	100
354	19.001	10	8	100	100	7	100
355	2.002	18	3	100	100	100	100
356	2.001	10	100	100	1	18	100
357	14.001	10	14	100	100	2	100
358	2.001	10	3	100	1	18	100
359	2.002	10	14	100	100	100	100
360	2.001	35	3	100	1	18	100
361	4.001	18	14	100	100	1	100
362	14.001	18	3	100	100	2	100
363	12.001	18	8	1	100	7	100
364	22.001	25	4	100	100	2	100
365	15.001	5	1	100	100	2	100
366	22.001	19	5	1	100	2	100
367	1.002	25	4	100	100	2	100
368	2.002	19	8	1	100	1	100
369	100.001	5	3	100	100	2	100
370	19.001	25	13	100	100	2	100
371	22.001	5	100	100	6	1	100
372	9.001	25	6	1	100	2	100
373	9.001	25	8	1	100	2	100
374	22.001	11	14	100	100	2	100
375	9.001	25	9	1	100	2	100
376	19.001	25	4	1	3	2	100
377	9.001	1	8	1	1	3	100
378	1.001	25	4	100	100	2	100
379	5.002	1	7	1	1	3	100
380	7.001	25	100	1	5	2	100
381	5.002	2	3	1	1	3	100
382	2.001	9	4	100	100	100	100
383	22.001	25	1	100	1	1	100
384	14.001	10	100	100	100	1	100
385	5.002	18	3	1	1	3	100
386	5.002	5	1	1	1	3	100
387	5.002	15	100	1	1	3	100
388	22.001	25	4	100	100	1	100
389	5.002	38	1	1	7	15	100
390	22.001	25	1	100	100	2	100
391	15.001	18	3	100	100	2	100
392	9.001	9	1	100	100	100	100
393	22.001	5	3	100	100	2	100
394	2.001	25	14	100	100	100	100
395	9.001	1	3	1	100	2	100
396	5.002	1	3	1	1	3	2
397	35.001	1	1	1	1	3	100
398	2.001	1	3	100	100	100	2
399	22.001	25	1	100	100	1	2
400	2.001	1	100	1	100	2	2
401	2.002	1	8	1	1	3	100
402	19.001	50	100	100	100	2	100
403	5.002	2	100	1	1	3	100
404	5.002	1	10	1	1	3	100
405	22.001	18	14	100	100	2	100
406	100.001	45	100	100	100	1	100
407	2.002	1	8	100	100	2	100
408	12.001	1	1	4	1	3	100
409	2.001	1	8	1	1	3	100
410	14.001	29	100	100	100	7	100
411	2.001	1	1	1	1	3	100
412	22.001	9	11	100	100	100	100
413	2.001	9	5	100	100	100	100
414	22.001	25	1	100	100	100	100
415	2.001	9	3	1	100	100	2
416	2.002	19	3	1	7	3	100
417	2.001	39	11	100	100	100	2
418	2.002	11	100	100	100	2	2
419	44.001	16	1	1	1	10	100
420	2.002	1	8	1	7	2	100
421	12.001	1	8	1	1	3	1
422	100.001	18	100	100	100	2	100
423	14.001	24	1	100	100	7	100
424	22.001	15	100	100	100	7	6
425	19.001	25	12	1	7	20	100
426	2.002	40	13	100	7	4	100
427	2.002	40	100	100	7	4	100
428	18.001	1	8	1	7	3	100
429	2.001	9	11	100	7	100	100
430	2.002	19	100	1	7	3	100
431	14.001	18	14	100	7	18	100
432	14.001	1	1	1	100	2	100
433	19.001	47	3	1	7	17	100
434	14.001	50	1	100	100	7	100
435	14.002	29	10	100	100	7	100
436	2.002	40	100	100	7	3	100
437	12.001	35	3	1	2	3	100
438	2.001	25	8	100	1	4	100
439	2.001	9	1	100	100	1	100
440	2.001	50	1	100	100	100	100
441	9.001	25	11	100	100	2	100
442	2.001	1	1	1	100	2	100
443	12.001	1	12	1	1	3	100
444	34.002	1	14	1	1	17	100
445	18.001	10	100	1	7	20	100
446	2.006	19	5	1	100	2	100
447	2.001	9	8	1	100	100	100
448	1.001	15	100	100	100	7	100
449	19.001	18	13	1	7	2	100
450	2.001	9	1	1	100	100	100
451	2.002	19	3	1	100	2	100
452	13.001	19	11	1	1	9	100
453	2.001	9	11	100	100	1	100
454	34.001	9	1	100	100	100	100
455	19.001	10	100	1	7	15	100
456	15.002	3	1	100	100	2	100
457	12.004	1	1	1	1	3	100
458	18.001	1	100	1	7	3	100
459	34.001	3	11	1	1	3	100
460	15.001	1	1	1	100	2	100
461	2.001	25	1	100	100	2	100
462	12.001	1	100	1	1	3	100
463	14.001	10	100	100	100	2	100
464	2.002	18	100	100	1	18	100
465	2.001	1	100	1	100	2	100
466	2.002	10	14	100	100	1	100
467	2.001	9	13	100	100	100	100
468	14.001	10	3	100	100	7	100
469	2.006	10	100	100	100	1	100
470	2.002	1	8	1	7	3	100
471	4.001	25	1	1	5	2	100
472	22.001	10	14	1	100	2	100
473	22.001	25	1	1	100	1	100
474	19.001	15	11	1	100	7	100
475	2.001	15	1	100	100	1	100
476	2.001	16	1	1	1	10	100
477	5.002	1	12	1	1	3	100
478	19.001	47	13	1	7	17	100
479	2.002	19	3	100	1	18	100
480	44.001	16	3	1	1	10	100
481	2.002	25	3	100	100	100	100
482	2.001	25	13	100	100	100	100
483	2.001	10	13	1	100	1	100
484	10.001	1	3	1	100	7	100
485	10.001	1	8	1	2	5	100
486	10.001	25	8	1	7	53	100
487	10.001	33	11	1	2	5	100
488	10.001	33	4	1	2	5	100
489	10.001	47	12	1	7	21	100
490	10.001	47	8	1	7	21	100
491	12.001	1	9	1	1	3	100
492	12.001	16	8	1	2	5	100
493	13.001	1	9	1	7	22	100
494	13.001	16	11	1	7	6	100
495	13.001	19	8	1	7	53	100
496	13.001	19	9	1	1	9	100
497	13.001	25	8	1	7	53	100
498	14.001	22	8	1	100	24	100
499	18.001	1	11	1	1	22	100
500	18.001	16	8	1	1	3	100
501	18.001	36	8	1	2	24	100
502	19.001	19	8	1	7	21	100
503	2.006	25	13	1	2	10	100
504	21.001	1	12	1	7	52	100
505	21.001	1	8	1	1	39	1
506	21.001	1	8	1	7	52	100
507	34.001	1	11	1	7	3	100
508	43.001	1	10	1	7	3	100
509	43.001	1	11	1	1	52	100
510	43.001	1	11	1	7	15	100
511	43.001	1	12	1	7	3	100
512	43.001	1	8	1	2	3	100
513	43.001	1	8	1	7	15	100
514	43.001	1	8	1	7	3	100
515	43.002	19	8	1	7	3	1
516	44.001	1	10	1	7	10	100
517	5.002	1	13	1	7	3	100
520	14.001	130	3	100	100	2	100
522	14.001	159	1	100	100	7	100
524	14.002	29	1	100	100	7	100
526	15.001	3	1	100	100	56	100
533	2.002	18	3	100	100	2	100
534	2.002	40	1	100	7	3	100
539	43.002	122	1	100	7	6	100
543	66.001	25	3	100	100	100	100
545	1.001	52	100	100	100	2	100
546	22.001	53	3	1	100	2	100
547	2.002	160	14	1	100	1	100
548	15.001	55	100	100	100	1	100
549	2.001	56	1	100	100	100	2
550	2.001	1	100	6	100	2	100
551	1.001	57	100	100	100	2	100
552	9.001	58	8	1	100	2	100
553	19.001	161	100	1	7	15	100
554	18.001	59	8	1	7	3	100
556	12.001	1	8	1	1	23	100
557	43.002	1	12	1	7	24	100
558	12.001	1	8	1	1	25	100
559	2.002	54	100	100	1	22	100
561	9.001	1	12	1	1	22	100
562	14.001	161	8	100	100	7	100
563	15.001	60	100	100	100	2	100
564	2.001	54	100	100	100	2	100
565	100.001	61	100	100	11	2	100
567	19.001	38	12	1	7	26	100
568	15.001	62	100	100	100	2	100
569	2.001	19	26	1	5	2	100
570	2.001	19	8	1	5	28	100
571	12.001	1	8	1	12	1	100
572	5.002	63	8	1	1	10	100
573	2.002	54	13	100	100	17	100
574	1.001	57	1	100	100	2	100
575	2.001	1	8	100	3	28	100
576	2.002	19	13	100	1	29	100
577	2.002	54	100	100	1	4	100
578	2.002	54	14	100	100	17	100
579	9.001	1	13	1	1	30	100
580	2.002	54	19	100	1	4	100
581	2.002	57	11	100	1	31	100
583	2.006	48	1	100	1	32	10
584	22.001	65	2	100	100	7	100
585	12.001	66	8	1	100	7	100
586	14.001	67	14	100	100	2	100
587	12.001	68	8	1	100	7	100
588	100.001	18	14	100	100	1	12
590	5.002	69	100	1	1	3	100
591	19.001	25	100	1	7	33	100
592	2.002	54	13	100	1	18	100
593	22.001	25	100	100	100	35	6
595	22.001	54	13	1	100	100	100
597	5.002	19	12	1	2	36	100
598	2.001	1	8	1	1	31	100
599	2.001	54	14	100	100	1	100
601	2.002	19	8	100	14	1	100
602	2.002	70	11	100	5	2	100
603	2.001	1	23	1	5	1	100
604	14.001	69	100	1	100	1	100
605	2.001	5	100	1	3	37	100
606	2.002	54	14	100	1	22	100
607	22.001	1	8	1	5	38	100
608	1.001	54	14	100	100	7	100
609	5.002	1	8	1	1	39	100
611	19.001	71	13	1	7	1	100
614	9.001	1	20	1	1	2	100
615	9.001	18	3	1	1	22	100
616	2.001	72	3	100	2	40	100
617	19.001	73	10	100	1	2	100
618	4.001	1	12	1	2	22	100
620	19.001	18	13	1	15	20	100
622	19.001	69	13	100	7	20	100
623	100.001	18	14	7	100	1	100
625	2.002	54	14	100	1	4	100
626	2.002	70	8	100	5	2	100
627	34.001	1	11	1	1	23	100
628	14.001	10	13	100	7	41	100
629	22.001	75	14	100	100	2	100
630	2.006	76	3	100	100	1	100
631	12.001	161	12	1	16	42	100
632	19.001	25	13	1	7	43	100
633	2.002	77	4	100	1	44	100
635	9.001	10	27	1	1	22	100
636	2.001	54	13	1	2	7	100
637	9.001	1	13	1	2	45	100
638	9.001	10	100	100	2	46	13
639	19.001	25	8	1	7	43	100
640	18.001	59	100	1	7	47	100
641	13.001	1	8	1	7	22	100
642	18.001	79	8	1	2	24	100
643	43.001	1	100	1	7	48	100
644	100.001	18	14	100	100	7	14
645	2.002	81	100	100	100	2	100
646	2.002	57	14	1	100	1	100
647	2.001	82	13	100	100	2	100
648	2.001	57	3	100	100	2	100
649	2.002	84	14	100	100	100	100
650	1.001	85	8	100	100	2	100
651	19.001	82	14	100	100	7	100
652	1.001	54	8	100	100	2	100
653	19.001	25	4	1	7	43	100
654	2.001	82	3	100	100	2	100
655	2.002	86	3	100	100	2	100
656	4.001	57	3	100	100	7	100
657	14.001	87	13	1	7	15	100
658	1.001	54	14	100	100	1	100
659	15.001	161	14	100	100	1	100
660	100.001	88	100	100	100	100	100
661	15.001	161	100	100	100	1	100
662	15.001	89	100	100	100	1	100
663	100.001	54	100	100	100	1	100
664	1.002	90	100	100	100	2	100
665	1.002	160	14	100	100	1	100
666	22.001	22	30	1	100	1	100
667	2.001	91	8	100	100	7	100
668	14.001	92	100	1	1	22	100
669	22.001	93	3	100	100	2	100
672	2.002	94	4	1	100	1	100
673	22.001	19	6	1	17	2	100
674	21.001	69	11	1	1	3	100
676	9.001	58	3	1	100	2	100
677	9.001	58	100	1	100	2	100
678	9.001	58	13	100	100	7	100
679	14.001	69	1	100	100	7	100
681	22.001	104	100	100	100	7	100
682	2.002	54	14	1	1	22	100
683	22.001	54	100	100	100	2	100
684	19.001	38	1	1	7	26	100
685	45.001	57	3	100	6	1	100
686	22.001	25	35	100	100	1	100
687	9.001	105	100	1	100	2	100
688	22.001	104	3	100	100	7	100
689	9.001	25	35	1	100	2	100
690	2.002	106	100	100	100	2	100
691	2.001	107	100	100	100	100	100
692	19.001	108	1	1	100	7	100
693	5.002	109	3	1	1	3	100
694	9.001	105	14	1	100	7	100
695	22.001	104	3	100	100	7	2
696	5.002	110	8	1	1	3	100
697	21.001	1	1	1	1	3	100
698	2.001	25	3	100	100	7	16
699	9.001	111	8	1	100	2	100
700	12.001	112	8	1	1	3	100
701	18.001	36	12	1	2	24	2
702	9.001	113	4	1	100	2	100
705	9.001	58	1	1	100	2	100
706	12.001	1	23	1	1	3	100
707	2.002	114	8	100	1	18	100
708	2.002	54	4	100	1	22	100
709	34.001	1	11	1	1	3	17
710	10.001	33	37	1	2	5	100
713	1.001	129	100	100	100	1	100
714	2.002	89	13	100	7	4	100
715	19.001	124	100	100	1	20	100
716	2.002	134	100	100	100	2	100
717	2.001	135	1	100	100	100	100
718	43.002	54	14	100	1	22	100
719	2.002	89	100	100	7	4	100
720	34.001	64	11	1	1	3	100
721	12.001	74	8	1	2	49	100
722	1.001	137	100	100	100	1	100
723	1.001	138	100	100	100	54	100
724	2.002	139	100	100	100	2	100
725	1.001	136	100	100	100	1	100
726	14.001	58	1	100	7	20	100
727	44.001	16	10	1	1	45	2
728	2.002	141	14	1	1	18	100
729	15.001	142	100	100	100	2	100
730	1.001	143	100	100	100	1	100
731	22.001	25	43	100	100	2	100
732	19.001	124	3	100	1	20	100
733	2.001	145	1	1	100	1	100
734	2.002	69	4	1	7	20	100
735	1.001	54	3	100	100	2	100
736	22.001	15	100	100	100	57	100
737	15.002	146	14	100	100	2	100
738	15.001	88	100	100	100	2	100
739	5.002	147	8	1	1	3	100
740	2.002	54	100	1	1	18	100
741	22.001	148	3	100	100	1	100
743	19.001	149	14	1	7	15	100
744	5.002	150	100	1	1	3	100
745	22.001	73	3	1	100	2	100
746	2.002	19	45	100	1	18	100
747	22.001	151	3	100	100	1	100
748	43.002	1	11	1	7	24	100
749	1.001	103	100	100	100	1	100
750	14.001	152	100	100	100	7	100
751	9.001	105	5	100	100	2	100
752	2.002	19	8	100	1	31	100
753	2.001	123	13	1	100	1	100
754	2.001	123	14	1	100	1	100
755	2.001	123	13	1	100	100	100
758	34.001	1	100	1	1	3	2
769	19.001	38	1	1	7	15	9
774	22.001	15	3	100	100	7	100
776	9.001	10	3	100	1	49	100
777	14.001	29	13	100	100	7	100
778	2.002	40	13	100	7	4	16
779	2.002	40	13	100	7	55	100
780	2.002	19	3	1	7	3	9
783	12.005	1	1	1	1	3	100
798	2.002	19	13	1	7	3	100
801	14.001	49	13	100	7	20	100
803	2.008	1	3	1	100	2	100
806	15.001	25	1	100	100	100	2
810	2.001	25	1	100	100	100	2
827	2.002	125	14	1	100	7	100
828	2.002	19	9	1	7	3	1
829	2.001	123	14	1	100	100	100
830	2.001	16	13	100	1	18	100
831	19.001	47	12	1	7	20	100
832	63.001	1	100	1	100	2	100
833	2.002	10	14	100	1	26	100
836	2.008	54	14	1	7	20	100
837	2.002	54	19	100	100	2	100
838	22.001	127	3	100	100	7	100
839	2.001	123	14	100	100	1	100
840	2.001	123	100	1	100	1	100
841	22.001	123	100	100	100	1	100
842	2.001	123	100	1	20	1	100
843	2.001	123	14	1	20	1	100
844	2.001	123	100	1	100	100	100
845	2.001	9	100	100	100	100	100
846	100.001	5	100	100	100	2	100
847	1.001	1	14	1	7	2	100
848	1.001	15	14	100	100	7	100
849	1.001	18	100	1	7	2	100
850	1.001	162	1	100	100	1	100
851	1.005	5	100	100	100	1	100
852	1.008	5	100	100	100	1	100
853	10.001	1	12	1	1	3	100
854	10.001	19	8	1	1	3	100
855	10.001	25	8	1	1	5	100
856	11.001	1	8	1	100	2	100
857	12.001	1	11	1	1	3	100
858	12.001	19	8	1	1	3	100
859	14.001	5	3	100	100	7	100
860	14.001	9	1	100	100	100	100
861	14.001	10	100	1	7	7	100
862	14.001	10	100	1	100	7	100
863	14.001	10	100	100	100	3	100
864	14.001	11	100	100	100	2	100
865	14.001	18	100	100	100	2	100
866	14.001	29	8	100	100	7	100
867	15.001	5	100	100	100	2	100
868	19.001	5	4	1	7	33	100
869	19.001	10	13	1	7	26	100
870	19.001	15	100	1	7	15	100
871	19.001	24	12	1	7	15	100
872	19.001	25	4	1	7	33	100
873	19.001	25	16	1	7	43	100
874	19.001	38	11	1	7	55	100
875	19.001	38	12	1	7	55	100
876	19.001	38	21	1	7	15	100
877	19.001	38	100	1	7	55	100
878	19.001	64	4	1	7	33	100
